tenpai,real,agari,score,tenpai,real,agari,score,tenpai,real,agari,score,tenpai,real,agari,score
30.000000,0.217500,0.083500,153550,25.000000,0.183000,0.101000,110950,30.000000,0.190000,0.076500,-159450,30.000000,0.212000,0.081500,-105050
30.000000,0.194000,0.086000,257700,30.000000,0.206500,0.091500,130500,25.000000,0.167000,0.075500,-73400,30.000000,0.188000,0.075500,-314800
30.000000,0.197000,0.092000,373450,35.000000,0.250500,0.111000,149650,30.000000,0.194000,0.082000,-272950,30.000000,0.205500,0.080500,-250150
30.000000,0.195500,0.090000,270350,30.000000,0.227500,0.102000,112050,35.000000,0.231000,0.088000,-147750,30.000000,0.188000,0.078500,-234650
25.000000,0.207000,0.082000,225300,25.000000,0.176000,0.089000,100600,20.000000,0.139500,0.061000,-274500,25.000000,0.178000,0.085000,-51400
25.000000,0.188000,0.087500,384550,30.000000,0.222000,0.096000,10750,25.000000,0.190500,0.077000,-187350,25.000000,0.187000,0.071500,-207950
25.000000,0.186500,0.087500,242300,25.000000,0.184000,0.085500,99300,30.000000,0.218000,0.081500,-125100,25.000000,0.176000,0.073000,-216500
25.000000,0.171500,0.072500,-111150,35.000000,0.245000,0.113000,371350,25.000000,0.172500,0.084500,20050,25.000000,0.178000,0.068500,-280250
25.000000,0.186500,0.083000,153800,25.000000,0.177000,0.092500,131400,35.000000,0.228500,0.093500,-77200,25.000000,0.175500,0.071500,-208000
20.000000,0.159500,0.079500,206300,20.000000,0.154000,0.090000,212200,15.000000,0.123500,0.067500,-187500,20.000000,0.153000,0.068500,-231000
20.000000,0.153500,0.086000,424750,25.000000,0.181000,0.086000,209150,20.000000,0.134500,0.058500,-454750,20.000000,0.145500,0.078000,-179150
20.000000,0.134000,0.077500,274650,20.000000,0.157500,0.090500,175850,25.000000,0.167500,0.080500,-50150,20.000000,0.141000,0.072500,-400350
20.000000,0.151500,0.075000,79750,30.000000,0.215000,0.116500,344750,20.000000,0.157500,0.075000,-172650,20.000000,0.150000,0.067000,-251850
20.000000,0.146000,0.073500,283450,20.000000,0.170500,0.079500,32050,30.000000,0.199500,0.090000,-61950,20.000000,0.145000,0.065000,-253550
20.000000,0.162500,0.087000,365350,35.000000,0.232500,0.106500,99450,20.000000,0.140500,0.068500,-146050,20.000000,0.142000,0.059000,-318750
20.000000,0.152500,0.067000,176650,20.000000,0.146000,0.080000,62550,35.000000,0.217500,0.094500,-67550,20.000000,0.151000,0.072000,-171650
15.000000,0.123000,0.068500,184300,15.000000,0.133000,0.082500,179700,10.000000,0.089000,0.058500,-202400,15.000000,0.114500,0.062500,-161600
15.000000,0.128000,0.075000,361550,20.000000,0.148000,0.096500,199750,15.000000,0.100000,0.062500,-271650,15.000000,0.115500,0.054000,-289650
15.000000,0.145500,0.077000,269050,15.000000,0.118500,0.078000,151350,20.000000,0.136000,0.062500,-276850,15.000000,0.119000,0.060500,-143550
15.000000,0.110000,0.080500,406850,25.000000,0.187500,0.093500,61250,15.000000,0.104000,0.059500,-313050,15.000000,0.103000,0.067000,-155050
15.000000,0.121000,0.078500,194350,15.000000,0.118500,0.079500,30450,25.000000,0.176500,0.075500,-122850,15.000000,0.116000,0.064000,-101950
15.000000,0.132500,0.077000,208150,30.000000,0.212000,0.119000,383750,15.000000,0.104000,0.069500,-184650,15.000000,0.111000,0.054500,-407250
15.000000,0.127000,0.069500,196200,15.000000,0.115500,0.080000,-19800,30.000000,0.205500,0.084500,-101600,15.000000,0.119000,0.067500,-74800
15.000000,0.126500,0.076500,266100,35.000000,0.237000,0.115500,165500,15.000000,0.115000,0.064500,-159000,15.000000,0.108000,0.061000,-272600
15.000000,0.124500,0.078500,249400,15.000000,0.116000,0.079000,154500,35.000000,0.221000,0.089000,-148600,15.000000,0.117500,0.064000,-255300
10.000000,0.098000,0.071000,199250,15.000000,0.114000,0.074500,100350,10.000000,0.077500,0.061500,-103050,10.000000,0.081500,0.054500,-196550
10.000000,0.092000,0.073000,309100,10.000000,0.082000,0.079000,211900,15.000000,0.109500,0.064500,-166200,10.000000,0.087000,0.053500,-354800
10.000000,0.104500,0.073000,295100,20.000000,0.142500,0.097000,225000,10.000000,0.079500,0.054000,-252800,10.000000,0.067500,0.060000,-267300
10.000000,0.100000,0.067000,95400,10.000000,0.094500,0.084500,115800,20.000000,0.148500,0.080500,-83300,10.000000,0.076500,0.061000,-127900
10.000000,0.104500,0.073000,240600,25.000000,0.183000,0.104500,349600,10.000000,0.082000,0.064500,-246100,10.000000,0.090500,0.058500,-344100
10.000000,0.093000,0.064500,29450,10.000000,0.086500,0.074500,89650,25.000000,0.171000,0.090000,-8950,10.000000,0.090000,0.064000,-110150
10.000000,0.096000,0.070000,320750,30.000000,0.226000,0.108500,133050,10.000000,0.091000,0.055500,-276350,10.000000,0.074500,0.058500,-177450
10.000000,0.092500,0.066000,205500,10.000000,0.090000,0.077000,98700,30.000000,0.201500,0.084500,-61100,10.000000,0.087500,0.057500,-243100
10.000000,0.096500,0.069500,185900,35.000000,0.242000,0.112000,333200,10.000000,0.087500,0.061500,-248400,10.000000,0.079500,0.054000,-270700
10.000000,0.103000,0.074500,155050,10.000000,0.096000,0.088000,164050,35.000000,0.219000,0.096500,-28050,10.000000,0.083500,0.057500,-291050
